S no.,name,repo url,default branch,codacy integration,custom properties
83,BatchUpdate,https://github.com/octanner/BatchUpdate,master,no,SOC
84,bfrancom-go,https://github.com/octanner/bfrancom-go,main,no,SOC
85,bfrancom-testing,https://github.com/octanner/bfrancom-testing,master,no,SOC
86,BI,https://github.com/octanner/BI,master,no,SOC
87,bouncer,https://github.com/octanner/bouncer,master,no,SOC
88,brenmac,https://github.com/octanner/brenmac,master,no,SOC
89,brochure_services_client,https://github.com/octanner/brochure_services_client,master,no,SOC
90,budget-dashboard-ui,https://github.com/octanner/budget-dashboard-ui,master,yes,SOC
91,budget-mgmt-tools-api,https://github.com/octanner/budget-mgmt-tools-api,master,yes,SOC
92,budget-mgmt-tools-ui,https://github.com/octanner/budget-mgmt-tools-ui,master,yes,SOC
93,budget-scanner,https://github.com/octanner/budget-scanner,master,no,SOC
94,budget_slick_table_gen,https://github.com/octanner/budget_slick_table_gen,master,no,SOC
95,build-your-own-radar,https://github.com/octanner/build-your-own-radar,master,no,SOC
96,ca-awardlevelapi,https://github.com/octanner/ca-awardlevelapi,master,no,SOC
97,ca-dnis-api,https://github.com/octanner/ca-dnis-api,master,no,SOC
98,ca-envision,https://github.com/octanner/ca-envision,master,no,SOC
99,cbauth,https://github.com/octanner/cbauth,master,no,SOC
100,cc-admin,https://github.com/octanner/cc-admin,master,no,SOC
101,cc-admin-employee-activity-ui,https://github.com/octanner/cc-admin-employee-activity-ui,master,no,SOC
102,cc-asset-migration,https://github.com/octanner/cc-asset-migration,master,no,SOC
103,cc-font-api,https://github.com/octanner/cc-font-api,master,no,SOC
104,cc-give-ui,https://github.com/octanner/cc-give-ui,main,no,SOC
105,cc-initiatives-graphql,https://github.com/octanner/cc-initiatives-graphql,master,no,SOC
106,cc-initiatives-ui,https://github.com/octanner/cc-initiatives-ui,master,yes,SOC
107,cc-recog-oauth,https://github.com/octanner/cc-recog-oauth,master,no,SOC
108,cc-recognition,https://github.com/octanner/cc-recognition,main,yes,SOC
109,cc-tagging-manager,https://github.com/octanner/cc-tagging-manager,master,no,SOC
110,cc-theme-ui-backend,https://github.com/octanner/cc-theme-ui-backend,master,no,SOC
111,cc-themes-ui,https://github.com/octanner/cc-themes-ui,master,no,SOC
112,cc-vibes-ui,https://github.com/octanner/cc-vibes-ui,main,yes,SOC
113,cc-victories-graphql,https://github.com/octanner/cc-victories-graphql,master,no,SOC
114,cc-web-config,https://github.com/octanner/cc-web-config,main,no,SOC
115,cc-yearbook-aggregation-service,https://github.com/octanner/cc-yearbook-aggregation-service,master,no,SOC
116,cc-yearbook-api,https://github.com/octanner/cc-yearbook-api,master,yes,SOC
117,cc-yearbook-batch-controller,https://github.com/octanner/cc-yearbook-batch-controller,master,no,SOC
118,cc-yearbook-content-api,https://github.com/octanner/cc-yearbook-content-api,master,no,SOC
119,cc-yearbook-graphql,https://github.com/octanner/cc-yearbook-graphql,master,no,SOC
120,cc-yearbook-html2pdf,https://github.com/octanner/cc-yearbook-html2pdf,master,no,SOC
121,cc-yearbook-order-data-api,https://github.com/octanner/cc-yearbook-order-data-api,master,no,SOC
122,cc-yearbook-print-messaging-service,https://github.com/octanner/cc-yearbook-print-messaging-service,main,no,SOC
123,cc-yearbook-vendor-mock,https://github.com/octanner/cc-yearbook-vendor-mock,main,no,SOC
124,ccadmin-client-config-service,https://github.com/octanner/ccadmin-client-config-service,master,no,SOC
125,ccadmin-root,https://github.com/octanner/ccadmin-root,main,no,SOC
126,ccloud-follow-watcher,https://github.com/octanner/ccloud-follow-watcher,main,no,SOC
127,ccloud-images-api,https://github.com/octanner/ccloud-images-api,main,no,SOC
128,ccloud-load-runner,https://github.com/octanner/ccloud-load-runner,master,no,SOC
129,ccloud-tasks-api,https://github.com/octanner/ccloud-tasks-api,master,no,SOC
