S no.,name,repo url,default branch,codacy integration,custom properties
80,ca-dnis-api,https://github.com/octanner/ca-dnis-api,master,no,SOC
81,ca-envision,https://github.com/octanner/ca-envision,master,no,SOC
82,cc-admin,https://github.com/octanner/cc-admin,master,no,SOC
83,cc-admin-employee-activity-ui,https://github.com/octanner/cc-admin-employee-activity-ui,master,no,SOC
84,cc-admin-ext-recog-config-ui,https://github.com/octanner/cc-admin-ext-recog-config-ui,main,yes,SOC
85,cc-admin-ucat-config-ui,https://github.com/octanner/cc-admin-ucat-config-ui,main,no,SOC
86,cc-customer-config-ui,https://github.com/octanner/cc-customer-config-ui,master,yes,SOC
87,cc-dataexport-api,https://github.com/octanner/cc-dataexport-api,master,yes,SOC
88,cc-dataexport-ui,https://github.com/octanner/cc-dataexport-ui,master,no,SOC
89,cc-delegation-api,https://github.com/octanner/cc-delegation-api,main,yes,SOC
90,cc-eligibility-criteria-ui,https://github.com/octanner/cc-eligibility-criteria-ui,main,no,SOC
91,cc-font-api,https://github.com/octanner/cc-font-api,master,no,SOC
92,cc-give-ui,https://github.com/octanner/cc-give-ui,main,no,SOC
93,cc-initiatives-graphql,https://github.com/octanner/cc-initiatives-graphql,master,no,SOC
94,cc-initiatives-ui,https://github.com/octanner/cc-initiatives-ui,master,yes,SOC
95,cc-integration-api,https://github.com/octanner/cc-integration-api,main,yes,SOC
96,cc-integration-ui,https://github.com/octanner/cc-integration-ui,main,yes,SOC
97,cc-languages-ui,https://github.com/octanner/cc-languages-ui,master,yes,SOC
98,cc-recog-oauth,https://github.com/octanner/cc-recog-oauth,master,no,SOC
99,cc-recognition,https://github.com/octanner/cc-recognition,main,yes,SOC
100,cc-tagging-manager,https://github.com/octanner/cc-tagging-manager,master,no,SOC
101,cc-theme-ui-backend,https://github.com/octanner/cc-theme-ui-backend,master,no,SOC
102,cc-themes-ui,https://github.com/octanner/cc-themes-ui,master,no,SOC
103,cc-unified-give-ui,https://github.com/octanner/cc-unified-give-ui,master,yes,SOC
104,cc-useractivity-ui,https://github.com/octanner/cc-useractivity-ui,master,no,SOC
105,cc-vibes-ui,https://github.com/octanner/cc-vibes-ui,main,yes,SOC
106,cc-victories-graphql,https://github.com/octanner/cc-victories-graphql,master,no,SOC
107,cc-web-config,https://github.com/octanner/cc-web-config,main,no,SOC
108,cc-yb-celebration-reporting-ui,https://github.com/octanner/cc-yb-celebration-reporting-ui,main,yes,SOC
109,cc-yearbook-aggregation-service,https://github.com/octanner/cc-yearbook-aggregation-service,master,no,SOC
110,cc-yearbook-api,https://github.com/octanner/cc-yearbook-api,master,yes,SOC
111,cc-yearbook-celebrations-reporting,https://github.com/octanner/cc-yearbook-celebrations-reporting,main,no,SOC
112,cc-yearbook-content-api,https://github.com/octanner/cc-yearbook-content-api,master,no,SOC
113,cc-yearbook-html2pdf,https://github.com/octanner/cc-yearbook-html2pdf,master,no,SOC
114,cc-yearbook-order-data-api,https://github.com/octanner/cc-yearbook-order-data-api,master,no,SOC
115,cc-yearbook-pipeline-setup,https://github.com/octanner/cc-yearbook-pipeline-setup,main,no,SOC
116,cc-yearbook-print-messaging-service,https://github.com/octanner/cc-yearbook-print-messaging-service,main,no,SOC
117,cc-yearbook-vendor-mock,https://github.com/octanner/cc-yearbook-vendor-mock,main,no,SOC
118,cc_campaign_graphql,https://github.com/octanner/cc_campaign_graphql,main,no,SOC
119,cc_campaign_ui,https://github.com/octanner/cc_campaign_ui,main,no,SOC
120,cceligibility-criteria-ui,https://github.com/octanner/cceligibility-criteria-ui,main,yes,SOC
121,ccloud-follow-watcher,https://github.com/octanner/ccloud-follow-watcher,main,no,SOC
122,ccloud-images-api,https://github.com/octanner/ccloud-images-api,main,no,SOC
123,ccloud-tasks-api,https://github.com/octanner/ccloud-tasks-api,master,no,SOC
124,ccloud-tasks-command-stream,https://github.com/octanner/ccloud-tasks-command-stream,main,no,SOC
125,ccloud-tasks-command-stream-v2,https://github.com/octanner/ccloud-tasks-command-stream-v2,main,no,SOC
126,ccloud-tasks-watcher,https://github.com/octanner/ccloud-tasks-watcher,main,no,SOC
127,ccloud-ui,https://github.com/octanner/ccloud-ui,main,yes,SOC
128,ccm-settings,https://github.com/octanner/ccm-settings,main,no,SOC
129,ccmigration,https://github.com/octanner/ccmigration,main,no,SOC
130,ccuiorc,https://github.com/octanner/ccuiorc,main,no,SOC
131,ccv2-administration,https://github.com/octanner/ccv2-administration,main,no,SOC
132,ccyb-example-app,https://github.com/octanner/ccyb-example-app,main,no,SOC
133,cdk-constructs,https://github.com/octanner/cdk-constructs,main,no,SOC
134,celebrations-component-libary,https://github.com/octanner/celebrations-component-libary,main,no,SOC
135,celebrationsui,https://github.com/octanner/celebrationsui,main,yes,SOC
136,circleci-nodejs,https://github.com/octanner/circleci-nodejs,main,no,SOC
137,Circles,https://github.com/octanner/Circles,master,no,SOC
138,cli-gitflow-plugin,https://github.com/octanner/cli-gitflow-plugin,master,no,SOC
139,client-services-automation,https://github.com/octanner/client-services-automation,master,no,SOC
140,cmontgomerytest,https://github.com/octanner/cmontgomerytest,master,no,SOC
141,cns-cortex,https://github.com/octanner/cns-cortex,main,yes,SOC
142,cns-crisco,https://github.com/octanner/cns-crisco,main,no,SOC
143,cns-esp-adapter-java,https://github.com/octanner/cns-esp-adapter-java,main,no,SOC
144,cns-esp-adapter-nodejs,https://github.com/octanner/cns-esp-adapter-nodejs,main,no,SOC
